code,name,constituency_id,num_voters
A012905,D/A PRIM. SCH. SAMANYE EAST,1,187
A012906,MARKET SQUARE SAMENYE WEST,1,681
A012907,MARKET SQUARE TWEAKO NAVRONGO. 1,1,599
A012908,MARKET SQUARE TWEAKO NAVRONGO. 2,1,115
A013001A,NANA NDA BILE JHS TIKOBO NO.2,1,376.5
A013001B,NANA NDA BILE JHS TIKOBO NO.2,1,376.5
A013002,ANGLICAN PRIM. SCH. TIKOBO NO.2,1,302
A013003,COMMUNITY CENTRE TIKOBO NO.2,1,687
A013004,D/A JHS SCH TIKOBO NO.2,1,607
A013005,NANA ARVONWEA BASIC SCH. FOREST JUNCTION,1,594
A013101,MARKET SQUARE NVELLENU,1,610
A013102,MARKET SQUARE BAWIA,1,446
A013103,D/A PRIM SCHOOL EBONLOA,1,359
A013104,MARKET SQUARE MBEM,1,452
A013201A,ASIKOFI SQUARE A ELUBO,1,441
A013201B,ASIKOFI SQUARE A ELUBO,1,441
A013202,VODAFONE HSE ELUBO,1,118
A013203,ASIKOFI SQUARE B ELUBO,1,623
A013204,FIRE SERVICE  ELUBO,1,292
A013205,PUBLIC SQUARE  A ELUBO,1,116
A013206A,PUBLIC SQUARE B ELUBO,1,453
A013206B,PUBLIC SQUARE B ELUBO,1,453
A013207,PARLIAMENT HSE ELUBO,1,256
A013208,SDA PRIM SCH ELUBO,1,672
A013209,SDA JHS ELUBO,1,214
A013210,WISE INT SCH ELUBO,1,164
A013211A,GOVT HOSPITAL ELUBO,1,426
A013211B,GOVT HOSPITAL ELUBO,1,426
A013212,GOVT MATERNITY SQUARE ELUBO,1,114
A013213,NEW GENERATION COMPLEX SCH. ELUBO,1,706
A013214,JESUS NEVER FAILS JHS ELUBO,1,252
A013301,R/C PRIM SCH BLOCK  A  1 ELUBO,1,81
A013302A,R/C PRIM SCH BLOCK  A  2 ELUBO,1,429
A013302B,R/C PRIM SCH BLOCK  A  2 ELUBO,1,429
A013303,R/C PRIM SCH BLOCK  B  1 ELUBO,1,107
A013304,R/C PRIM SCH BLOCK  B  2 ELUBO,1,537
