name,constituency_id
Musah Abdul-Aziz Ayaba,225
Abdul-Aziz Mohammed,225
Sayibu Abdul-Rauf,225
Waja Njaliku Elijah,225
Mohammed Hardi Tufeiru,230
Salifu Yakubu,230
Jawol Abraham Binapadam,226
Bukari Nikpe Joseph,226
Samuel Nakoja Kwojan,226
Jabaah John Bennam,222
Alhassan Umar,222
Abdulai Jacob Iddriss,229
Haruna Zakaria,229
Alhassan Iddrisu,229
Muhamed Abdul-Samed Gunu,229
Ibrahim Anyars Imoro,232
Ibrahim Murtala Muhammed,232
Abdul-Karim Mubarik,232
Alhassan Dahamani,234
Alhassan Sayibu Suhuyini,234
Abdallah Mauza,234
Mohammed Abdul-Nasir,234
Yakubu Yussif,231
Iddrisu Haruna,231
Kassim Abdul Jalilu,231
Imoro Nabila Sualisu,231
Habib Iddrisu,235
Yussif Adamu,235
Sumani Charles Baaba,235
Thomas Donkor Ogajah,221
Dawuni Abukari,221
Moses Mukambe Nyilkajer,221
Zakaria Mohammed,221
Alhassan Abdul-Fatawa,224
Umar Farouk Aliu Mahama,224
Tahidu Abdul-Razak,260
Samuel Abdulai Jabanyite,260
Eugene Tamado Koffikan Bashiru,260
Solomon Namliit Boar,258
Bandim Abed-Nego Azumah,258
Dimongoso Kafari Benjamin,258
Mahama Alima,257
Issifu Seidu,257
Ato Aaron,257
Lariba Zuweira Abudu,255
Abubakari Abdallah,255
Ibrahim Mubarak,255
Mustapha Ussif,256
Ibrahim Abdul-Rauf Tanko,256
Daniel Amanvari,256
Liwaal Oscar,259
Joseph Bipoba Naabu,259
Issaka Tamim,259
Rashid Bawa,213
Yao Gomado,213
Daniel Asong Boateng,213
Emmanuel Osei-Brantuo,213
Daniel Korsinah,212
Kwadwo Nyanpon Aboagye,212
Michael Kodzo Asante,212
Lawrence Kwami Aziale,211
Adams Iddie Kofi,211
Isaac Davids Kpuku Kwaku,211
Darko-Boateng Adams,211
Michael Yaw Gyato,214
Gidisu Wisdom,214
Innocent Tache Kakateche,216
Solomon Kuyon,216
Nnigmaka Israel,216
Inusah Abdul-Nasiru,216
Justice Amankwa Mensah,215
Helen Adjoa Ntoso,215
Nador Munyum Benjamin,218
Oti John Kwabena Bless,218
Sherifa Sekyere-Tijani,217
Geoffrey Kini,217
Ograh Felix William,217
Elvis Morris Donkoh,21
Felix Kwakye Ofosu,21
Francis Eghan,21
Kwesi Yankah,32
Queenstar Maame Pokua Sawyerr,32
Appiah Kubi Sharfiu,32
Samuel Aryeequaye,32
Anthony Adjetey Adjei,32
Cynthia Mamle Morrison,31
